Class Name,Instance Side Definition,Class Side Definition
WeakKeyAssociation,"Magnitude weakSubclass: #WeakKeyAssociation 	instanceVariableNames: 'value' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Support'","WeakKeyAssociation class 	instanceVariableNames: ''"
NECOverrideModel,"NECTypedModel subclass: #NECOverrideModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECOverrideModel class 	instanceVariableNames: ''"
MCMockPackageInfo,"PackageInfo subclass: #MCMockPackageInfo 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Mocks'","MCMockPackageInfo class 	instanceVariableNames: ''"
Abort,"Exception subclass: #Abort 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Abort class 	instanceVariableNames: ''"
RBInlineMethodFromComponentRefactoring,"RBInlineMethodRefactoring subclass: #RBInlineMethodFromComponentRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBInlineMethodFromComponentRefactoring class 	instanceVariableNames: ''"
DummySoundSystem,"AbstractSoundSystem subclass: #DummySoundSystem 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Sound'","DummySoundSystem class 	instanceVariableNames: ''"
MonitorTest,"TestCase subclass: #MonitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Processes'","MonitorTest class 	instanceVariableNames: ''"
SimplestClassListWithChunkExample,"SimplestPaginatedClassListExample subclass: #SimplestClassListWithChunkExample 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","SimplestClassListWithChunkExample class 	instanceVariableNames: ''"
MCVersionInspector,"MCTool subclass: #MCVersionInspector 	instanceVariableNames: 'version' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCVersionInspector class 	instanceVariableNames: ''"
RBBrowserEnvironment,"Object subclass: #RBBrowserEnvironment 	instanceVariableNames: 'label searchStrings' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBBrowserEnvironment class 	instanceVariableNames: ''"
ORCmdRemoveClassChanges,"ORCmdChangeCommand subclass: #ORCmdRemoveClassChanges 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Changes'","ORCmdRemoveClassChanges class 	instanceVariableNames: ''"
ORCmdProtocolRegex,"ORCmdRegex subclass: #ORCmdProtocolRegex 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Regex-Commands'","ORCmdProtocolRegex class 	instanceVariableNames: ''"
RxsRange,"RxsNode subclass: #RxsRange 	instanceVariableNames: 'first last' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxsRange class 	instanceVariableNames: ''"
TextLineTest,"HashAndEqualsTestCase subclass: #TextLineTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MorphicTests-Text Support'","TextLineTest class 	instanceVariableNames: ''"
HowToMakeYourOwnTutorial,"AbstractTutorial subclass: #HowToMakeYourOwnTutorial 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Core'","HowToMakeYourOwnTutorial class 	instanceVariableNames: ''"
RGGlobalVariableDefinition,"RGGlobalDefinition subclass: #RGGlobalVariableDefinition 	instanceVariableNames: 'value' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGGlobalVariableDefinition class 	instanceVariableNames: ''"
Socket,"Object subclass: #Socket 	instanceVariableNames: 'semaphore socketHandle readSemaphore writeSemaphore' 	classVariableNames: 'Connected DeadServer InvalidSocket OtherEndClosed Registry RegistryThreshold TCPSocketType ThisEndClosed UDPSocketType Unconnected WaitingForConnection' 	poolDictionaries: '' 	category: 'Network-Kernel'","Socket class 	instanceVariableNames: ''"
MCWorkingCopyDeleted,"Announcement subclass: #MCWorkingCopyDeleted 	instanceVariableNames: 'package workingCopy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Announcements'","MCWorkingCopyDeleted class 	instanceVariableNames: ''"
InflateStream,"ReadStream subclass: #InflateStream 	instanceVariableNames: 'state bitBuf bitPos source sourcePos sourceLimit litTable distTable sourceStream crc' 	classVariableNames: 'BlockProceedBit BlockTypes FixedDistCodes FixedLitCodes MaxBits StateNewBlock StateNoMoreData' 	poolDictionaries: '' 	category: 'Compression-Streams'","InflateStream class 	instanceVariableNames: ''"
HMAC,"Object subclass: #HMAC 	instanceVariableNames: 'hash key ipad epad' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Hashing-Core'","HMAC class 	instanceVariableNames: ''"
RemoteTempVectorNode,"TempVariableNode subclass: #RemoteTempVectorNode 	instanceVariableNames: 'remoteTemps readNode writeNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","RemoteTempVectorNode class 	instanceVariableNames: ''"
CommandLineTest,"TestCase subclass: #CommandLineTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-SystemSupport'","CommandLineTest class 	instanceVariableNames: ''"
OBCmdClassTemplate,"OBCommand subclass: #OBCmdClassTemplate 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Commands'","OBCmdClassTemplate class 	instanceVariableNames: ''"
NECTestClass,"NECTestSuperClass subclass: #NECTestClass 	instanceVariableNames: 'third fourth typeSuggestingParameter messageSend messageSend2 typeSuggestingParameter2 complexInit complexInit2 constantInteger constantSymbol constantArray constantBoolean constantString constantNil globalVarKeyword globalVarKeyword2' 	classVariableNames: 'ClassVar' 	poolDictionaries: '' 	category: 'NECompletion-Tests'","NECTestClass class 	instanceVariableNames: ''"
UTF8TextConverter,"TextConverter subclass: #UTF8TextConverter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConversion'","UTF8TextConverter class 	instanceVariableNames: ''"
SettingNodeBuilder,"Object subclass: #SettingNodeBuilder 	instanceVariableNames: 'node builder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Browser'","SettingNodeBuilder class 	instanceVariableNames: ''"
ZnLogSupport,"Object subclass: #ZnLogSupport 	instanceVariableNames: 'announcer enabled' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Logging'","ZnLogSupport class 	instanceVariableNames: ''"
WeakSetInspectorTest,"TestCase subclass: #WeakSetInspectorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ToolsTest-Inspector'","WeakSetInspectorTest class 	instanceVariableNames: ''"
OBCmdBrowseImplementorsOfIt,"OBCommand subclass: #OBCmdBrowseImplementorsOfIt 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Commands'","OBCmdBrowseImplementorsOfIt class 	instanceVariableNames: ''"
FreeTypeFontFamily,"FontFamilyAbstract subclass: #FreeTypeFontFamily 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-FontManager'","FreeTypeFontFamily class 	instanceVariableNames: ''"
BehaviorTest,"TestCase subclass: #BehaviorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","BehaviorTest class 	instanceVariableNames: ''"
InternetConfiguration,"Object subclass: #InternetConfiguration 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Kernel'","InternetConfiguration class 	instanceVariableNames: ''"
DurationTest,"ClassTestCase subclass: #DurationTest 	instanceVariableNames: 'aDuration' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","DurationTest class 	instanceVariableNames: ''"
MorphBugs,"TestCase subclass: #MorphBugs 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Bugs'","MorphBugs class 	instanceVariableNames: ''"
FinderClassNode,"FinderNode subclass: #FinderClassNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Finder'","FinderClassNode class 	instanceVariableNames: ''"
CachingMorph,"Morph subclass: #CachingMorph 	instanceVariableNames: 'damageRecorder cacheCanvas' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Basic'","CachingMorph class 	instanceVariableNames: ''"
MetacelloPackageAPIHelpBuilder,"PackageAPIHelpBuilder subclass: #MetacelloPackageAPIHelpBuilder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Help'","MetacelloPackageAPIHelpBuilder class 	instanceVariableNames: ''"
MetacelloConfigurationBrowser,"Object subclass: #MetacelloConfigurationBrowser 	instanceVariableNames: 'window selectedConfiguration trustedTree untrustedTree selectedRepository' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-ConfigurationBrowser'","MetacelloConfigurationBrowser class 	instanceVariableNames: ''"
AbsolutePath,"Path variableSubclass: #AbsolutePath 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","AbsolutePath class 	instanceVariableNames: ''"
RBUnnecessaryAssignmentRule,"RBParseTreeLintRule subclass: #RBUnnecessaryAssignmentRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBUnnecessaryAssignmentRule class 	instanceVariableNames: ''"
MetacelloGoferCommit,"GoferCommit subclass: #MetacelloGoferCommit 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Gofer'","MetacelloGoferCommit class 	instanceVariableNames: ''"
RBUncommonMessageSendRule,"RBBlockLintRule subclass: #RBUncommonMessageSendRule 	instanceVariableNames: 'literalNames' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBUncommonMessageSendRule class 	instanceVariableNames: ''"
TextClassLink,"TextLink subclass: #TextClassLink 	instanceVariableNames: 'className' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Text'","TextClassLink class 	instanceVariableNames: ''"
SARInstaller,"Model subclass: #SARInstaller 	instanceVariableNames: 'zip directory fileName installed' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Installers'","SARInstaller class 	instanceVariableNames: ''"
TickSelectionListNodeMorph,"MorphTreeNodeMorph subclass: #TickSelectionListNodeMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TickSelectionListNodeMorph class 	instanceVariableNames: ''"
RBRefersToClassRule,"RBBlockLintRule subclass: #RBRefersToClassRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBRefersToClassRule class 	instanceVariableNames: ''"
SyntaxErrorNotification,"Error subclass: #SyntaxErrorNotification 	instanceVariableNames: 'inClass code category doitFlag errorMessage location' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Exceptions'","SyntaxErrorNotification class 	instanceVariableNames: ''"
ORCmdAbstractClassVarRefactoring,"ORCmdClassVarRefactoring subclass: #ORCmdAbstractClassVarRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Refactoring'","ORCmdAbstractClassVarRefactoring class 	instanceVariableNames: ''"
NECTypedModelTest,"TestCase subclass: #NECTypedModelTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Tests'","NECTypedModelTest class 	instanceVariableNames: ''"
GoferUpdate,"GoferWorking subclass: #GoferUpdate 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferUpdate class 	instanceVariableNames: ''"
LanguageEnvironment,"Object subclass: #LanguageEnvironment 	instanceVariableNames: 'id' 	classVariableNames: 'ClipboardInterpreterClass Current FileNameConverterClass InputInterpreterClass KnownEnvironments SystemConverterClass' 	poolDictionaries: '' 	category: 'Multilingual-Languages'","LanguageEnvironment class 	instanceVariableNames: ''"
SmalltalkEditor,"TextEditor subclass: #SmalltalkEditor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Text'","SmalltalkEditor class 	instanceVariableNames: ''"
SpaceTallyItem,"Object subclass: #SpaceTallyItem 	instanceVariableNames: 'analyzedClassName codeSize instanceCount spaceForInstances' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Tools'","SpaceTallyItem class 	instanceVariableNames: ''"
RBPullUpMethodRefactoring,"RBMethodRefactoring subclass: #RBPullUpMethodRefactoring 	instanceVariableNames: 'removeDuplicates selectors' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBPullUpMethodRefactoring class 	instanceVariableNames: ''"
MCClassDefinitionTest,"MCTestCase subclass: #MCClassDefinitionTest 	instanceVariableNames: 'previousChangeSet' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Monticello'","MCClassDefinitionTest class 	instanceVariableNames: ''"
ZnStatusLine,"Object subclass: #ZnStatusLine 	instanceVariableNames: 'version code reason' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Core'","ZnStatusLine class 	instanceVariableNames: ''"
RGMetaclassDefinition,"RGClassDescriptionDefinition subclass: #RGMetaclassDefinition 	instanceVariableNames: 'baseClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGMetaclassDefinition class 	instanceVariableNames: ''"
StringTest,"CollectionRootTest subclass: #StringTest 	uses: TIncludesTest + TCloneTest + TCopyTest + TSetArithmetic + TIterateSequencedReadableTest + TPrintOnSequencedTest + TAsStringCommaAndDelimiterSequenceableTest + TIndexAccess + TSequencedElementAccessTest + TSubCollectionAccess + TPutBasicTest + TCopySequenceableSameContents + TCopyPartOfSequenceable + TCopyPartOfSequenceableForMultipliness + TCopySequenceableWithOrWithoutSpecificElements + TCopySequenceableWithReplacement + TReplacementSequencedTest + TConvertTest - {#testAsByteArray} + TConvertAsSortedTest + TBeginsEndsWith + TIndexAccessForMultipliness - {#testIdentityIndexOfIAbsentDuplicate. #testIdentityIndexOfDuplicate. #collectionWithNonIdentitySameAtEndAndBegining} + TSequencedConcatenationTest + TPutTest + TConvertAsSetForMultiplinessTest + TSortTest + TSequencedStructuralEqualityTest + TOccurrencesForMultiplinessTest + TCreationWithTest 	instanceVariableNames: 'string emptyString elementInNonEmpty notIn nonEmpty1element withoutEqualElements collectionNotIncluded indexInNonEmptyArray sameAtEndAndBegining nonEmpty5ElementsSorted unsortedCollection subcollection3ElementsSorted arrayWithCharacters' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Strings'","StringTest class 	uses: TIncludesTest classTrait + TCloneTest classTrait + TCopyTest classTrait + TSetArithmetic classTrait + TIterateSequencedReadableTest classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TIndexAccess classTrait + TSequencedElementAccessTest classTrait + TSubCollectionAccess classTrait + TPutBasicTest classTrait + TCopySequenceableSameContents classTrait + TCopyPartOfSequenceable classTrait + TCopyPartOfSequenceableForMultipliness classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TCopySequenceableWithReplacement classTrait + TReplacementSequencedTest classTrait + TConvertTest classTrait + TConvertAsSortedTest classTrait + TBeginsEndsWith classTrait + TIndexAccessForMultipliness classTrait + TSequencedConcatenationTest classTrait + TPrintOnSequencedTest classTrait + TPutTest classTrait + TConvertAsSetForMultiplinessTest classTrait + TSortTest classTrait + TSequencedStructuralEqualityTest classTrait + TOccurrencesForMultiplinessTest classTrait + TCreationWithTest classTrait 	instanceVariableNames: ''"
UUIDGenerator,"Object subclass: #UUIDGenerator 	instanceVariableNames: 'timeLow timeMid timeHiAndVersion clockSeqHiAndReserved clockSeqLow node randomCounter randomGenerator semaphoreForGenerator' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'Network-UUID'","UUIDGenerator class 	instanceVariableNames: ''"
LiteralVariableNode,"VariableNode subclass: #LiteralVariableNode 	instanceVariableNames: 'writeNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","LiteralVariableNode class 	instanceVariableNames: ''"
MCSerializationTest,"MCTestCase subclass: #MCSerializationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Monticello'","MCSerializationTest class 	instanceVariableNames: ''"
JPEGReadWriter,"ImageReadWriter subclass: #JPEGReadWriter 	instanceVariableNames: 'width height components currentComponents qTable hACTable hDCTable restartInterval restartsToGo mcuWidth mcuHeight mcusPerRow mcuRowsInScan mcuMembership mcuSampleBuffer mcuImageBuffer majorVersion minorVersion dataPrecision densityUnit xDensity yDensity ss se ah al sosSeen residuals ditherMask' 	classVariableNames: 'ConstBits DCTK1 DCTK2 DCTK3 DCTK4 DCTSize DCTSize2 DitherMasks FIXn0n298631336 FIXn0n34414 FIXn0n390180644 FIXn0n541196100 FIXn0n71414 FIXn0n765366865 FIXn0n899976223 FIXn1n175875602 FIXn1n40200 FIXn1n501321110 FIXn1n77200 FIXn1n847759065 FIXn1n961570560 FIXn2n053119869 FIXn2n562915447 FIXn3n072711026 FloatSampleOffset HuffmanTableSize JFIFMarkerParser JPEGNaturalOrder MaxSample Pass1Bits Pass1Div Pass2Div QTableScaleFactor QuantizationTableSize SampleOffset' 	poolDictionaries: '' 	category: 'Graphics-Files'","JPEGReadWriter class 	instanceVariableNames: ''"
MacHFSPlusFileDirectory,"MacFileDirectory subclass: #MacHFSPlusFileDirectory 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Directories'","MacHFSPlusFileDirectory class 	instanceVariableNames: ''"
NECReadMe,"Object subclass: #NECReadMe 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECReadMe class 	instanceVariableNames: ''"
PluggableDictionary,"Dictionary subclass: #PluggableDictionary 	instanceVariableNames: 'hashBlock equalBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","PluggableDictionary class 	instanceVariableNames: ''"
SystemWindow,"MorphicModel subclass: #SystemWindow 	instanceVariableNames: 'labelString stripes label closeBox collapseBox activeOnlyOnTop paneMorphs collapsedFrame fullFrame isCollapsed menuBox mustNotClose labelWidgetAllowance updatablePanes allowReframeHandles labelArea expandBox embeddable announcer' 	classVariableNames: 'CloseBoxImage CollapseBoxImage FullscreenMargin TopWindow' 	poolDictionaries: '' 	category: 'Morphic-Windows'","SystemWindow class 	instanceVariableNames: ''"
CachedBlockClosure,"BlockClosure variableSubclass: #CachedBlockClosure 	instanceVariableNames: 'cachedValue' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","CachedBlockClosure class 	instanceVariableNames: ''"
RBCollectionCopyEmptyRule,"RBBlockLintRule subclass: #RBCollectionCopyEmptyRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBCollectionCopyEmptyRule class 	instanceVariableNames: ''"
ConfigurationOfHelpSystem,"Object subclass: #ConfigurationOfHelpSystem 	instanceVariableNames: 'project' 	classVariableNames: 'LastVersionLoad' 	poolDictionaries: '' 	category: 'ConfigurationOfHelpSystem'","ConfigurationOfHelpSystem class 	instanceVariableNames: ''"
FTPConnectionException,"Error subclass: #FTPConnectionException 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","FTPConnectionException class 	instanceVariableNames: ''"
AlignmentMorph,"RectangleMorph subclass: #AlignmentMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Basic'","AlignmentMorph class 	instanceVariableNames: ''"
RBPatternMessageNode,"RBMessageNode subclass: #RBPatternMessageNode 	instanceVariableNames: 'isList isCascadeList' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Pattern'","RBPatternMessageNode class 	instanceVariableNames: ''"
TestCaseEnded,"TestCaseAnnouncement subclass: #TestCaseEnded 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Announcements'","TestCaseEnded class 	instanceVariableNames: ''"
PersonDataExample,"Object subclass: #PersonDataExample 	instanceVariableNames: 'firstName secondName age married' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","PersonDataExample class 	instanceVariableNames: ''"
MCMockDependentItem,"MCMock subclass: #MCMockDependentItem 	instanceVariableNames: 'name provides requires' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Mocks'","MCMockDependentItem class 	instanceVariableNames: ''"
TaskbarMorph,"Morph subclass: #TaskbarMorph 	instanceVariableNames: 'tasks orderedTasks' 	classVariableNames: 'ShowTaskbar ShowWindowPreview' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TaskbarMorph class 	instanceVariableNames: ''"
MCPackageModified,"Announcement subclass: #MCPackageModified 	instanceVariableNames: 'package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Announcements'","MCPackageModified class 	instanceVariableNames: ''"
RBClassEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBClassEnvironment 	instanceVariableNames: 'classes metaClasses' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBClassEnvironment class 	instanceVariableNames: ''"
ExternalSemaphoreTable,"Object subclass: #ExternalSemaphoreTable 	instanceVariableNames: '' 	classVariableNames: 'ProtectAdd ProtectRemove' 	poolDictionaries: '' 	category: 'System-Support'","ExternalSemaphoreTable class 	instanceVariableNames: ''"
RandomTest,"ClassTestCase subclass: #RandomTest 	instanceVariableNames: 'gen' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Numbers'","RandomTest class 	instanceVariableNames: ''"
ListDialogWindow,"MessageDialogWindow subclass: #ListDialogWindow 	instanceVariableNames: 'pattern list searchMorph listMorph listIndex answer listBlock listCreationProcess' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","ListDialogWindow class 	instanceVariableNames: 'searchList'"
SHA1,"HashFunction subclass: #SHA1 	instanceVariableNames: 'totalA totalB totalC totalD totalE totals' 	classVariableNames: 'K1 K2 K3 K4' 	poolDictionaries: '' 	category: 'System-Hashing-SHA1'","SHA1 class 	instanceVariableNames: ''"
QuestionDialogWindow,"ProceedDialogWindow subclass: #QuestionDialogWindow 	instanceVariableNames: 'answer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","QuestionDialogWindow class 	instanceVariableNames: ''"
ORCmdRefactoringUndo,"ORCmdRefactoringTool subclass: #ORCmdRefactoringUndo 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Refactoring'","ORCmdRefactoringUndo class 	instanceVariableNames: ''"
ZnMimeTypeTests,"TestCase subclass: #ZnMimeTypeTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnMimeTypeTests class 	instanceVariableNames: ''"
PragmaUpdated,"PragmaAnnouncement subclass: #PragmaUpdated 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Pragmas'","PragmaUpdated class 	instanceVariableNames: ''"
RBReturnsIfTrueRule,"RBParseTreeLintRule subclass: #RBReturnsIfTrueRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBReturnsIfTrueRule class 	instanceVariableNames: ''"
RGMethodDefinition,"RGElementDefinition subclass: #RGMethodDefinition 	instanceVariableNames: 'protocol sourceCode stamp package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGMethodDefinition class 	instanceVariableNames: ''"
HierarchicalURI,"URI subclass: #HierarchicalURI 	instanceVariableNames: 'authority query pathComponents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-URI'","HierarchicalURI class 	instanceVariableNames: ''"
FileExistsException,"FileStreamException subclass: #FileExistsException 	instanceVariableNames: 'fileClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Kernel'","FileExistsException class 	instanceVariableNames: ''"
CurveMorph,"PolygonMorph subclass: #CurveMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Basic'","CurveMorph class 	instanceVariableNames: ''"
ZipEncoderNode,"Object subclass: #ZipEncoderNode 	instanceVariableNames: 'value frequency height bitLength code parent left right' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Streams'","ZipEncoderNode class 	instanceVariableNames: ''"
PackageServices,"Object subclass: #PackageServices 	instanceVariableNames: '' 	classVariableNames: 'ServiceClasses' 	poolDictionaries: '' 	category: 'PackageInfo-Base'","PackageServices class 	instanceVariableNames: ''"
SettingRegexpFilter,"SettingFilter subclass: #SettingRegexpFilter 	instanceVariableNames: 'regexp' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Filter'","SettingRegexpFilter class 	instanceVariableNames: ''"
ORCmdProtocolRegexEnvironment,"ORCmdRegexEnvironment subclass: #ORCmdProtocolRegexEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Regex-Commands'","ORCmdProtocolRegexEnvironment class 	instanceVariableNames: ''"
ORCompositeCriticsNode,"ORCriticsNode subclass: #ORCompositeCriticsNode 	instanceVariableNames: 'rules' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Critics'","ORCompositeCriticsNode class 	instanceVariableNames: ''"
OBClassVariableNode,"OBVariableNode subclass: #OBClassVariableNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Nodes'","OBClassVariableNode class 	instanceVariableNames: ''"
UUIDPrimitivesTest,"TestCase subclass: #UUIDPrimitivesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NetworkTests-UUID'","UUIDPrimitivesTest class 	instanceVariableNames: ''"
RBRemoveClassRefactoring,"RBRefactoring subclass: #RBRemoveClassRefactoring 	instanceVariableNames: 'classNames' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBRemoveClassRefactoring class 	instanceVariableNames: ''"
ORCmdInstVarRefsEnvironment,"ORCmdEnvironment subclass: #ORCmdInstVarRefsEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Commands'","ORCmdInstVarRefsEnvironment class 	instanceVariableNames: ''"
OBCmdRunTests,"OBCommand subclass: #OBCmdRunTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-SUnitIntegration'","OBCmdRunTests class 	instanceVariableNames: ''"
PrototypeTester,"Object subclass: #PrototypeTester 	instanceVariableNames: 'prototype' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","PrototypeTester class 	instanceVariableNames: ''"
TextKernTest,"HashAndEqualsTestCase subclass: #TextKernTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Text'","TextKernTest class 	instanceVariableNames: ''"
